Year,State,Pop,Beneficiaries,Pct_Bene
2010,New Mexico,1268252,86405,6.812920460602467
2010,New York,12435230,790431,6.356384240580995
2010,North Carolina,6019769,413764,6.873419893686951
2010,North Dakota,425243,18423,4.332346446619932
2010,Ohio,7183738,482524,6.716893071545761
2010,Oklahoma,2314971,169760,7.3331372185655885
2010,Oregon,2431088,137273,5.64656647558624
2010,Pennsylvania,7950917,566753,7.128146350917762
2010,Rhode Island,676730,50266,7.427777695683655
2010,South Carolina,2913016,221312,7.597349276488698
2010,South Dakota,494802,24300,4.911055331223398
2010,Tennessee,3996642,324387,8.116488792341169
2010,Texas,15677851,791982,5.051597951785611
2010,Utah,1643396,57149,3.477494164522732
2010,Vermont,405430,28539,7.0391929556273585
2010,Virginia,5170410,273886,5.297181461431491
2010,Washington,4315509,233129,5.402120584153573
2010,West Virginia,1168172,144939,12.407333851521866
2010,Wisconsin,3570180,203488,5.699656599947342
2010,Wyoming,358134,15320,4.2777284480110795
2011,US_Total,196263504,12159875,6.2
2011,Alabama,3003011,314282,10.5
2011,Alaska,476064,19631,4.1
2011,Arizona,3935556,202126,5.1
2011,Arkansas,1798406,186071,10.3
2011,California,24021369,1158004,4.8
2011,Colorado,3310888,132645,4.0
2011,Connecticut,2261936,111529,4.9
2011,Delaware,569003,34382,6.0
2011,District of Columbia,442483,28429,6.4
2011,Florida,11702916,705839,6.0
2011,Georgia,6247840,379244,6.1
2011,Hawaii,867662,36100,4.2
2011,Idaho,954436,54662,5.7
2011,Illinois,8130367,433172,5.3
2011,Indiana,4061232,263791,6.5
2011,Iowa,1880201,100120,5.3
2011,Kansas,1764655,96183,5.5
2011,Kentucky,2756550,309770,11.2
2011,Louisiana,2884200,244833,8.5
2011,Maine,842752,76800,9.1
2011,Maryland,3752166,179936,4.8
2011,Massachusetts,4260632,287821,6.8
2011,Michigan,6191220,484013,7.8
2011,Minnesota,3365567,164727,4.9
2011,Mississippi,1840202,190876,10.4
2011,Missouri,3743915,283323,7.6
2011,Montana,624393,36495,5.8
2011,Nebraska,1132194,54875,4.8
2011,Nevada,1720069,77086,4.5
2011,New Hampshire,853834,56560,6.6
2011,New Jersey,5569985,270523,4.9
2011,New Mexico,1280430,88311,6.9
2011,New York,12514495,802957,6.4
2011,North Carolina,6090022,425264,7.0
2011,North Dakota,434181,18763,4.3
2011,Ohio,7203415,502732,7.0
2011,Oklahoma,2337695,172976,7.4
2011,Oregon,2455031,142576,5.8
2011,Pennsylvania,8000162,583785,7.3
2011,Rhode Island,677623,51784,7.6
2011,South Carolina,2940114,229309,7.8
2011,South Dakota,502273,24897,5.0
2011,Tennessee,4031566,336835,8.4
2011,Texas,16007914,821116,5.1
2011,Utah,1677692,60155,3.6
2011,Vermont,406291,29385,7.2
2011,Virginia,5231995,280261,5.4
2011,Washington,4383408,242847,5.5
2011,West Virginia,1169600,146668,12.5
2011,Wisconsin,3592939,209507,5.8
2011,Wyoming,360954,15899,4.4
2012,US_Total,197040596,12513314,6.4
2012,Alabama,2998237,324887,10.8
2012,Alaska,481852,19854,4.1
2012,Arizona,3960828,208188,5.3
2012,Arkansas,1795660,190304,10.6
2012,California,24201126,1178020,4.9
2012,Colorado,3342983,137421,4.1
2012,Connecticut,2264077,114266,5.0
2012,Delaware,571568,35287,6.2
2012,District of Columbia,450954,29871,6.6
2012,Florida,11805373,734961,6.2
2012,Georgia,6290121,398502,6.3
2012,Hawaii,878501,36147,4.1
2012,Idaho,956497,57174,6.0
2012,Illinois,8116753,442749,5.5
2012,Indiana,4056709,273441,6.7
2012,Iowa,1880928,103105,5.5
2012,Kansas,1767332,99290,5.6
2012,Kentucky,2747524,313227,11.4
2012,Louisiana,2888885,250897,8.7
2012,Maine,836898,78818,9.4
2012,Maryland,3777744,186342,4.9
2012,Massachusetts,4286235,295359,6.9
2012,Michigan,6173776,501650,8.1
2012,Minnesota,3373224,171117,5.1
2012,Mississippi,1835518,194386,10.6
2012,Missouri,3735332,292949,7.8
2012,Montana,624872,37357,6.0
2012,Nebraska,1134766,56312,5.0
2012,Nevada,1734434,80250,4.6
2012,New Hampshire,852075,58286,6.8
2012,New Jersey,5587651,278659,5.0
2012,New Mexico,1276263,91408,7.2
2012,New York,12549535,815735,6.5
2012,North Carolina,6117676,438159,7.2
2012,North Dakota,444354,18720,4.2
2012,Ohio,7175429,521563,7.3
2012,Oklahoma,2343210,176875,7.5
2012,Oregon,2457110,147789,6.0
2012,Pennsylvania,7981289,601824,7.5
2012,Rhode Island,675189,53275,7.9
2012,South Carolina,2948174,236411,8.0
2012,South Dakota,507002,25895,5.1
2012,Tennessee,4043720,348602,8.6
2012,Texas,16234269,845555,5.2
2012,Utah,1695896,63426,3.7
2012,Vermont,403616,30362,7.5
2012,Virginia,5266625,287188,5.5
2012,Washington,4403628,252092,5.7
2012,West Virginia,1159423,145775,12.6
2012,Wisconsin,3584341,217322,6.1
2012,Wyoming,365414,16262,4.5
2013,US_Total,197838893,12735462,6.4
2013,Alabama,3001075,330202,11.0
2013,Alaska,480911,19546,4.1
2013,Arizona,3990948,211630,5.3
2013,Arkansas,1795087,191798,10.7
2013,California,24365913,1192546,4.9
2013,Colorado,3383044,141226,4.2
2013,Connecticut,2264843,115550,5.1
2013,Delaware,574707,35750,6.2
2013,District of Columbia,461553,30660,6.6
2013,Florida,11878569,760008,6.4
2013,Georgia,6306503,410187,6.5
2013,Hawaii,877231,36310,4.1
2013,Idaho,961213,59074,6.1
2013,Illinois,8115187,446413,5.5
2013,Indiana,4069842,280142,6.9
2013,Iowa,1885505,105488,5.6
2013,Kansas,1764802,101223,5.7
2013,Kentucky,2747039,313669,11.4
2013,Louisiana,2899027,254335,8.8
2013,Maine,831959,79942,9.6
2013,Maryland,3789311,191621,5.1
2013,Massachusetts,4309566,301665,7.0
2013,Michigan,6162828,513837,8.3
2013,Minnesota,3385192,174992,5.2
2013,Mississippi,1837475,196161,10.7
2013,Missouri,3738709,299092,8.0
2013,Montana,626416,37779,6.0
2013,Nebraska,1140160,56937,5.0
2013,Nevada,1747631,83763,4.8
2013,New Hampshire,849132,59967,7.1
2013,New Jersey,5593754,284618,5.1
2013,New Mexico,1271086,93440,7.4
2013,New York,12578670,819942,6.5
2013,North Carolina,6155356,447171,7.3
2013,North Dakota,457890,18812,4.1
2013,Ohio,7168681,535975,7.5
2013,Oklahoma,2354420,180028,7.6
2013,Oregon,2465064,151926,6.2
2013,Pennsylvania,7966826,611208,7.7
2013,Rhode Island,674710,54265,8.0
2013,South Carolina,2967273,240972,8.1
2013,South Dakota,510755,26314,5.2
2013,Tennessee,4052025,353365,8.7
2013,Texas,16440040,859801,5.2
2013,Utah,1720648,64791,3.8
2013,Vermont,401456,30684,7.6
2013,Virginia,5290489,288944,5.5
2013,Washington,4424527,258332,5.8
2013,West Virginia,1152585,144138,12.5
2013,Wisconsin,3584970,222467,6.2
2013,Wyoming,366290,16756,4.6
2014,US_Total,199030227,12768929,6.4
2014,Alabama,2997874,329329,11.0
2014,Alaska,480776,19305,4.0
2014,Arizona,4039575,212360,5.3
2014,Arkansas,1793159,191675,10.7
2014,California,24656301,1188601,4.8
2014,Colorado,3429479,143161,4.2
2014,Connecticut,2265324,116274,5.1
2014,Delaware,577460,35883,6.2
2014,District of Columbia,468834,30552,6.5
2014,Florida,12048169,773755,6.4
2014,Georgia,6352523,414391,6.5
2014,Hawaii,882963,35989,4.1
2014,Idaho,970008,59841,6.2
2014,Illinois,8103573,442828,5.5
2014,Indiana,4073484,282486,6.9
2014,Iowa,1889823,106499,5.6
2014,Kansas,1765896,100894,5.7
2014,Kentucky,2746329,310960,11.3
2014,Louisiana,2903289,255002,8.8
2014,Maine,827605,79949,9.7
2014,Maryland,3803603,193551,5.1
2014,Massachusetts,4338703,304064,7.0
2014,Michigan,6156035,513836,8.3
2014,Minnesota,3395205,175932,5.2
2014,Mississippi,1834427,196229,10.7
2014,Missouri,3738751,300286,8.0
2014,Montana,627400,37154,5.9
2014,Nebraska,1143905,57320,5.0
2014,Nevada,1774027,86199,4.9
2014,New Hampshire,848609,60250,7.1
2014,New Jersey,5612591,287144,5.1
2014,New Mexico,1264768,93580,7.4
2014,New York,12619227,811871,6.4
2014,North Carolina,6193053,449271,7.3
2014,North Dakota,465957,18612,4.0
2014,Ohio,7156690,540581,7.6
2014,Oklahoma,2362821,180096,7.6
2014,Oregon,2478330,154930,6.3
2014,Pennsylvania,7951795,610059,7.7
2014,Rhode Island,676174,54670,8.1
2014,South Carolina,2985869,241174,8.1
2014,South Dakota,512545,26399,5.2
2014,Tennessee,4069126,353825,8.7
2014,Texas,16742263,859730,5.1
2014,Utah,1743527,65470,3.8
2014,Vermont,398777,30933,7.8
2014,Virginia,5310288,292421,5.5
2014,Washington,4466054,260618,5.8
2014,West Virginia,1141567,141975,12.4
2014,Wisconsin,3581507,224129,6.3
2014,Wyoming,364189,16886,4.6
2015,US_Total,200012857,12745170,6.4
2015,Alabama,2991321,326369,10.9
2015,Alaska,479329,19402,4.0
2015,Arizona,4085161,213207,5.2
2015,Arkansas,1795755,191723,10.7
2015,California,24835148,1174039,4.7
2015,Colorado,3487884,142232,4.1
2015,Connecticut,2260021,116940,5.2
2015,Delaware,581033,36173,6.2
2015,District of Columbia,477117,30338,6.4
2015,Florida,12223675,782410,6.4
2015,Georgia,6405764,417329,6.5
2015,Hawaii,883856,35349,4.0
2015,Idaho,978599,60559,6.2
2015,Illinois,8071045,441370,5.5
2015,Indiana,4074097,284303,7.0
2015,Iowa,1892226,106752,5.6
2015,Kansas,1765674,100680,5.7
2015,Kentucky,2740660,307357,11.2
2015,Louisiana,2902817,254775,8.8
2015,Maine,822412,79625,9.7
2015,Maryland,3808604,195278,5.1
2015,Massachusetts,4362113,302739,6.9
2015,Michigan,6144601,511399,8.3
2015,Minnesota,3399564,175301,5.2
2015,Mississippi,1825784,194726,10.7
2015,Missouri,3737274,299151,8.0
2015,Montana,628518,37191,5.9
2015,Nebraska,1147142,57862,5.0
2015,Nevada,1799563,88724,4.9
2015,New Hampshire,847668,60666,7.2
2015,New Jersey,5615566,287083,5.1
2015,New Mexico,1257796,94357,7.5
2015,New York,12620659,801128,6.3
2015,North Carolina,6235410,449270,7.2
2015,North Dakota,475720,18473,3.9
2015,Ohio,7141994,542894,7.6
2015,Oklahoma,2373767,180192,7.6
2015,Oregon,2505245,156500,6.2
2015,Pennsylvania,7932441,605078,7.6
2015,Rhode Island,675278,54748,8.1
2015,South Carolina,3009763,241304,8.0
2015,South Dakota,512725,26413,5.2
2015,Tennessee,4086136,353384,8.6
2015,Texas,17032175,856736,5.0
2015,Utah,1775556,66016,3.7
2015,Vermont,396226,30965,7.8
2015,Virginia,5324178,293736,5.5
2015,Washington,4522463,261421,5.8
2015,West Virginia,1128244,139409,12.4
2015,Wisconsin,3574577,225166,6.3
2015,Wyoming,362513,16928,4.7
