,State,Year,MedExpDummy,ACA_Enroll,d_pct_ACA_Enroll,index,RegName,Pov,AvgAge,TotalWages,CompPerJob,TotalComp,TotalEmp,PIpercap,GDPpercap,Pop,Beneficiaries,Pct_Bene,CompPerCap,EmpPerCap,WagePerCap,d_pct_CompPerJob,d_pct_PIPerCap,d_pct_GDPPerCap,d_pct_CompPerCap,d_pct_WagePerCap,d_pct_EmpPerCap,d_pct_AvgAge,d_pct_Pov,BenePerCap,d_pct_BenePerCap,d_pct_CompPerJob_1,d_pct_PIPerCap_1,d_pct_GDPPerCap_1,d_pct_CompPerCap_1,d_pct_WagePerCap_1,d_pct_EmpPerCap_1,d_pct_AvgAge_1,d_pct_Pov_1,d_pct_BenePerCap_1
20,Massachusetts,2015,1,140540,9.839953721558041,32,Northeast Region,6777.0,39.17,235281869,79385,286487097,4542723,62697,64017,4362113,302739,0.06940191599804957,65676.22090486881,1.0414042460614845,53937.591483760276,0.04073258344476782,0.05108130762782892,0.031700241740531876,0.05428342526707164,0.05425558498859173,0.015891655145567674,0.005906522855675611,0.018638208327070416,0.06940191599804957,-0.009700914457201004,0.02968452597902238,0.04316043510195522,0.005330438586542696,0.04254167073596449,0.050049317984299346,0.01444311599403858,0.009592947886958747,6653.0,0.0011835226883281091
21,Michigan,2015,1,341183,1.3597073042528027,131,Midwest Region,9852.0,39.41,214703159,60898,263663949,5517824,42833,42401,6144601,511399,0.08322737310364009,42909.856799489506,0.8979954923029176,34941.75765033401,0.031819722128092254,0.04618728933613414,0.015155142692970802,0.05132584179042432,0.052708305762355634,0.021545168707195916,0.008960573476702427,-0.0041443444860002066,0.08322737310364009,-0.0028907632317178855,0.020877657274315453,0.04406589483347778,0.01694585118815728,0.04048087935805511,0.04879197531015844,0.01716839627634026,0.002309468822170979,9893.0,0.0011015217195473603
22,Minnesota,2015,1,59704,0.8640024976584453,186,Midwest Region,5458.0,38.78,153846384,63851,186640490,3671890,50938,53562,3399564,175301,0.0515657301936366,54901.30204932162,1.0801061547892612,45254.73972544714,0.028362055081333493,0.03597795358864331,0.012533318210174116,0.04395804758027788,0.05276392327698076,0.017219989135196068,0.0202578268876612,0.007568764999076993,0.0515657301936366,-0.004864237420787898,0.03283651606893345,0.0405476900937507,0.01670190274841432,0.04459081838114409,0.04213805281557437,0.010239629417908791,0.013059701492537101,5417.0,0.0024066730297351846
23,Mississippi,2015,0,104538,3.0908664005635123,362,South Region,2947.0,37.77,46433363,47838,57541522,1573471,34805,31504,1825784,194726,0.10665336096712426,31516.06214097615,0.8618056681403715,25432.01331592346,0.011866235167206085,0.01915024450235725,0.005329163608513987,0.023961925951055285,0.027879164595945527,0.015992957987895684,0.0082754938601175,-0.004728132387706863,0.10665336096712426,-0.0029618201242485043,0.0162070373793608,0.024724697692561692,-0.00982684529828104,0.030550966864126172,0.028603386730471803,0.016619118230798424,0.007801990852838392,2961.0,0.002008784270364661
24,Missouri,2015,0,253430,2.403161046878567,197,Midwest Region,5946.0,38.42,134523098,57766,166821026,3666616,42352,43145,3737274,299151,0.08004524153166184,44637.087352974384,0.9810937062682586,35994.97869302599,0.02878005342831691,0.02981082526868639,0.014102714772593616,0.04755420428018864,0.04665840461908832,0.0198511776053103,-0.004663212435233155,-0.0006722689075630006,0.08004524153166184,-0.0033860159256766664,0.01937076775048574,0.0319164952075075,-0.0010800403841186856,0.028920854405098506,0.037959345998605176,0.008010153492628902,-0.007967103572346312,5950.0,0.003980804159699147
25,Montana,2015,0,54266,1.4073285422766393,461,West Region,1018.0,39.5,19270606,50318,24131724,661956,41845,39046,628518,37191,0.059172529665021525,38394.64263553311,1.0532013402957434,30660.38840574176,0.025224123879380667,0.030309745407987476,0.009958355965960619,0.04287150695448916,0.04644108033585326,0.018665118221023125,0.003047232097511454,0.009920634920634885,0.059172529665021525,-0.000784703885597593,0.03046463289172574,0.027968311017742886,0.004886543809944577,0.03662744717487598,0.04112574227261878,0.008507823297890571,0.009484747500640989,1008.0,-0.018086013262896716
26,Nebraska,2015,0,74152,1.8986005785317803,208,Midwest Region,1858.0,37.18,45742665,54658,56329358,1304802,48606,52773,1147142,57862,0.050440137315171094,49104.08476021277,1.1374372135271833,39875.32929663459,0.022677094637578055,0.004899832537369031,0.0017653758542142128,0.035935106442825715,0.05019255067688211,0.014011800526842144,-0.0034843205574913716,-0.008008542445274935,0.050440137315171094,0.0066072099705303255,0.035293661862699555,0.054342139680878976,0.02229725796122728,0.045681115639376824,0.04198839133359389,0.009114138580762043,0.007017543859649367,1873.0,0.003430837316857005
27,Nevada,2015,1,73596,1.5791484142281407,472,West Region,2864.0,37.81,60874136,59261,76605702,1660482,41992,43126,1799563,88724,0.049303080803506184,42569.05815467422,0.9227140144579545,33827.17693128832,0.028247705307723026,0.035178109207444797,-0.002082562014068867,0.046608507317703385,0.04040750621744782,0.016801071716758598,0.0023860021208907956,0.0159631074849238,0.049303080803506184,0.014686905052282206,0.027289579694128596,0.041757620894219194,0.003762716588470383,0.0484870855646331,0.03417649097088571,0.015302330826236332,0.013978494623655857,2819.0,0.013770194733768726
28,New Hampshire,2015,1,53005,1.4564371118732042,43,Northeast Region,1293.0,40.15,34466828,63929,42576495,860052,55926,50162,847668,60666,0.07156811393139767,50227.79555203216,1.0146094933393734,40660.763412090586,0.030664065648830396,0.04341498908561725,0.012330729954995956,0.047573751169463385,0.044083185794997926,0.01983721527781457,0.0,-0.01896813353566007,0.07156811393139767,0.008022333530447234,0.037154084106679974,0.038579290032553004,0.014246238870125882,0.05147500684516215,0.05856010485222085,0.011247917522078987,0.0007477567298106447,1318.0,0.005338473433738278
29,New Jersey,2015,1,254316,2.419604679306172,76,Northeast Region,8936.0,38.62,250878296,75853,308100972,5291743,60101,56663,5615566,287083,0.051122718529174084,54865.52415197328,0.942334753077428,44675.51374162462,0.018899605082878912,0.039503952124807507,0.01767273119129298,0.030876445272210118,0.04221265158968346,0.016444635153818554,0.007828810020876764,-0.00022376370552701363,0.051122718529174084,-0.0007421018291320358,0.02127717950476704,0.04146627037737538,-0.0014705618622334882,0.026151834338910884,0.024520275667933245,0.009953932437464452,0.006038330270412118,8938.0,0.005489063155792451
30,New Mexico,2015,1,52358,2.4877431388222755,483,West Region,2036.0,38.06,37444147,54769,47086850,1095949,38025,41529,1257796,94357,0.0750177294251214,37435.99916043619,0.871324920734364,29769.650245349803,0.019584116760057446,0.036075311299419655,0.01754342978952783,0.03350449946585066,0.02768614244114298,0.018245677721470566,0.0018425901553040802,0.002955665024630516,0.0750177294251214,0.013892109527163354,0.020091532311665716,0.05608310313075515,0.02540073363147588,0.03240823487202449,0.03954616162144764,0.010983130482331793,-0.013502986237340808,2030.0,0.006501154743697279
31,New York,2015,1,408841,0.6713447088930495,87,Northeast Region,19645.0,38.77,626911905,83289,781960243,12115516,58814,63390,12620659,801128,0.063477509375699,61958.748984502316,0.9599749109773111,49673.468318888896,0.02481789546215185,0.03598668334184696,0.007085663446873447,0.042648167944099535,0.04268587358308906,0.021146463849778474,0.0015499870834410068,-0.0006613083731814573,0.063477509375699,-0.013344361103458602,0.03437655114482441,0.04174618320610679,0.005414902963022161,0.05052207583615442,0.060320926459799695,0.017323145899625025,0.009913905557004998,19658.0,-0.013025648735221163
32,North Carolina,2015,0,560357,1.7941569515223441,296,South Region,9887.0,38.09,213255641,58613,263345770,5703767,40790,43680,6235410,449270,0.07205139678064473,42233.914048955885,0.9147380845846544,34200.740769251744,0.0255275221331841,0.035594597339291045,0.009708737864077666,0.041944368366579,0.04987232439481426,0.017568471222993765,-0.0020958868221115923,0.006515321184973999,0.07205139678064473,-0.006795188234802185,0.03194005597183347,0.04165234178721611,0.009615384615384581,0.04556103905916142,0.039545932597775835,0.015784478875672026,0.011393746687864414,9823.0,-0.0014193772296591245
33,North Dakota,2015,1,18171,2.4690721649484537,219,Midwest Region,763.0,37.02,23452209,60542,28513690,600660,55956,67278,475720,18473,0.03883166568569747,59937.967712099555,1.2626334818800975,49298.34566551753,0.0014059579535867783,-0.033758698692821776,-0.04818629392790452,-0.039413727778192964,-0.042979427860688646,-0.03284508252099727,0.0010816657652787942,0.04377564979480164,0.03883166568569747,-0.027837607569818568,0.06607300299770769,0.04049805055967792,0.04373763326540869,0.08707128729655644,0.08651601836690914,0.01730116702308626,0.00955500955500943,731.0,-0.02776020735507745
34,Ohio,2015,1,234341,1.9691605955020588,142,Midwest Region,11435.0,38.75,265272944,59801,330445407,6886299,43597,47109,7141994,542894,0.0760143455735191,46267.94799883618,0.9641983737314818,37142.70048392648,0.022291741456826886,0.033986339057015424,0.016068501423518233,0.03962212559054512,0.04233694559495915,0.019589242690279507,-0.0064102564102563875,-0.006084311169056944,0.0760143455735191,0.006345222681797047,0.022817876626101574,0.036301521370462275,0.023691241085425307,0.03858371376396552,0.0448072961992656,0.014434371310420469,0.0007698229407235857,11505.0,0.010283578320130715
35,Oklahoma,2015,0,126115,2.8353810595462563,406,South Region,3887.0,37.42,76875638,56086,95718562,2287902,45619,45042,2373767,180192,0.07590972492245447,40323.486677504574,0.9638275365695117,32385.502873702433,0.014378470275451694,0.010566656328917734,0.01338673026300996,0.013308491879854945,0.0133699835135761,0.002691457739458558,0.009713977334052881,0.04265021459227469,0.07590972492245447,-0.004080645039319042,0.030414282785739655,0.05758598069534249,0.03199517054029588,0.03910940883593561,0.04028584095736898,0.0063277204838319,0.011186903137790027,3728.0,-0.0031791196969359614
36,Oregon,2015,1,112024,1.8867700870999329,549,West Region,4029.0,38.88,91123876,60608,112239923,2387585,43830,50009,2505245,156500,0.0624689401635369,44801.97465716926,0.953034533548615,36373.23934385659,0.04160723185591286,0.05057526366251208,0.03371367150357596,0.0596566891108683,0.05987594789831974,0.01762894262710657,-0.018181818181818188,0.0187104930467763,0.0624689401635369,-0.0007187215161787996,0.02195408960781209,0.05564130462285877,0.002029826014912972,0.045054998580899897,0.05510510977566718,0.021254628182834967,0.005076142131979822,3955.0,0.014314146344713174
37,Pennsylvania,2015,0,472697,1.9576651378729952,98,Northeast Region,12564.0,39.88,308208037,64400,388851644,7524509,49786,50540,7932441,605078,0.07627891590999543,49020.42687742651,0.9485742156796376,38854.122835581125,0.0358194071381468,0.03792190464277523,0.027381944585611828,0.046476379099158915,0.0420865869924687,0.014439740559548664,0.0017583521728208318,-0.0044374009508716394,0.07627891590999543,-0.005744850680799551,0.021876335426185944,0.04002515123262729,0.016804464654815998,0.0331466477741007,0.041102461145119173,0.013010146276166923,-0.0010037641154329036,12620.0,6.8277785061354734e-06
38,Rhode Island,2015,1,31337,0.6578668923923394,54,Northeast Region,1044.0,39.98,25577480,63830,31811568,623519,50050,47413,675278,54748,0.08107475735919133,47108.84702300386,0.9233515677987436,37876.963265499544,0.02482178408580049,0.04177507649397416,0.013141587247318176,0.03968886820562667,0.042441919095920655,0.01826697557310597,0.0067992948879374016,-0.0019120458891013214,0.08107475735919133,0.0027554962976739095,0.02851858579520128,0.037287330512133954,0.007687172972158152,0.04273438711032185,0.04495524321216293,0.015242217707436057,-0.002010555415933646,1046.0,0.005282091879469375
39,South Carolina,2015,0,210331,2.7673473043166754,307,South Region,4790.0,39.07,90323530,53820,112468245,2635467,38312,36620,3009763,241304,0.08017375454479306,37367.807697815406,0.8756393775855441,30010.180203557557,0.02303832116788329,0.03925132239251328,0.01123905779692369,0.04273521019926996,0.048134865784041025,0.019954596393128465,0.01008273009307148,0.005457598656591012,0.08017375454479306,-0.007404080419503467,0.026137161582273638,0.04457100759378907,0.01547909480945564,0.04428452013891726,0.04253806928762338,0.018248316351893168,-0.010994630529276406,4764.0,-0.005394951726808372
40,South Dakota,2015,0,21393,2.1623059866962304,230,Midwest Region,848.0,37.81,17761238,49801,22303804,595484,47912,47785,512725,26413,0.051514944658442634,43500.5197718075,1.161410112633478,34640.865961285286,0.037153508132536484,0.04142937877668129,0.020087951498590995,0.04401827569995809,0.04340478911425838,0.009517209286873829,0.003450106157112609,0.0023640661938533203,0.051514944658442634,0.0001790715542815402,0.04584857989196722,0.030831279408469747,-0.0024701873935264462,0.05717790424177438,0.049979389672071495,0.010308790329747852,0.0072173215717723505,846.0,-0.00027343776671884257
41,Tennessee,2015,0,231440,1.9722475503101444,373,South Region,6605.0,38.85,137424108,56260,167436222,3863831,42127,42647,4086136,353384,0.08648366084731395,40976.664017056704,0.9455953007927294,33631.79982261971,0.024772313296903548,0.046581536321176564,0.018995507980502646,0.045205817040334884,0.05360354306266868,0.02083224639906489,0.009615384615384803,0.01677955665024622,0.08648366084731395,-0.005404047399174106,0.016572539579668533,0.03704848765909219,0.008652061793555488,0.032804134884195646,0.04226294715351364,0.01709988227313297,0.010238907849829282,6496.0,-0.002906323105201669
